"Id_Rssd","Event Date","Historical Event"
1021628,"1978-06-30","BANAMEX HOLDING COMPANY located at 800 WEST SIXTH STREET, LOS ANGELES, CA was established as a Bank Holding Company."
1021628,"1985-12-31","BANAMEX HOLDING COMPANY moved to 615 SOUTH FLOWER STREET LOS ANGELES, CA."
1021628,"1991-02-06","BANAMEX HOLDING COMPANY moved to 811 WILSHIRE BOULEVARD LOS ANGELES, CA."
1021628,"1991-11-04","BANAMEX HOLDING COMPANY changed from Bank Holding Company to Domestic Entity Other."
1021628,"1993-07-01","BANAMEX HOLDING COMPANY was renamed to BANAMEX USA BANCORP."
1021628,"1996-09-09","BANAMEX USA BANCORP changed from Domestic Entity Other to Bank Holding Company."
1021628,"1996-09-23","BANAMEX USA BANCORP moved to 2029 CENTURY PARK EAST, 42ND FLOOR LOS ANGELES, CA."
1021655,"1978-12-15","BATES COUNTY BANCSHARES, INC. located at RICH HILL, MO was established as a Bank Holding Company."
1021655,"2004-12-31","BATES COUNTY BANCSHARES, INC. moved to 606 EAST WALNUT RICH HILL, MO."
1021682,"1979-01-31","CITIZENS BANKSHARES, INC. located at FARMINGTON, NM was established as a Bank Holding Company."
1021682,"1989-06-06","CITIZENS BANKSHARES, INC. moved to 500 WEST  BROADWAY FARMINGTON, NM."
1022063,"1980-09-30","CAPITAL BANCSHARES, INC. located at BROOKFIELD, MO was established as a Bank Holding Company."
1022063,"1985-11-01","CAPITAL BANCSHARES, INC. moved to 216 NORTH MAIN STREET BROOKFIELD, MO."
1022063,"2003-04-09","CAPITAL BANCSHARES, INC. moved to 939 PARK CIRCLE DRIVE BROOKFIELD, MO."
1022764,"1982-11-12","CPB INC. located at 50 NORTH KING STREET, HONOLULU, HI was established as a Bank Holding Company."
1022764,"1983-03-01","CPB INC. moved to 220 SOUTH KING STREET HONOLULU, HI."
1022764,"2003-04-23","CPB INC. was renamed to CENTRAL PACIFIC FINANCIAL CORP.."
1022764,"2008-12-31","CENTRAL PACIFIC FINANCIAL CORP. moved to 220 SOUTH KING STREET, 22ND FLOOR HONOLULU, HI."
1022858,"1982-12-15","COLUMBIA BANCSHARES, INC. located at 700 COLUMBIA CENTRE, COLUMBIA, IL was established as a Bank Holding Company."
1022997,"1983-01-31","PUEBLO BANCORPORATION located at PUEBLO, CO was established as a Bank Holding Company."
1022997,"1984-10-01","PUEBLO BANCORPORATION moved to 301 W 5TH STREET PUEBLO, CO."
1023145,"1983-11-18","CITY BANCSHARES, INC. located at FORT SCOTT, KS was established as a Bank Holding Company."
1023145,"1986-12-30","CITY BANCSHARES, INC. moved to 1012 HIGHWAY 69 FORT SCOTT, KS."
1023154,"1984-01-24","NEW MEXICO BANQUEST INVESTORS CORPORATION located at SANTA FE, NM was established as a Bank Holding Company."
1023154,"1984-12-31","NEW MEXICO BANQUEST INVESTORS CORPORATION moved to POST OFFICE BOX 6107 SANTA FE, NM."
1023154,"2000-12-18","NEW MEXICO BANQUEST INVESTORS CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1023154,"2002-06-07","NEW MEXICO BANQUEST INVESTORS CORPORATION was renamed to NEW MEXICO BANQUEST CORPORATION."
1023154,"2003-05-14","NEW MEXICO BANQUEST CORPORATION moved to 62 LINCOLN AVENUE SANTA FE, NM."
1023154,"2013-08-15","NEW MEXICO BANQUEST CORPORATION was renamed to FIRST SANTA FE BANCORP INCORPORATED."
1023154,"2013-11-21","FIRST SANTA FE BANCORP INCORPORATED moved to 2101 MOUNTAIN ROAD SUITE B ALBUQUERQUE, NM."
1023154,"2014-02-25","FIRST SANTA FE BANCORP INCORPORATED was renamed to FIRST NATIONAL BANCORP INCORPORATED."
1023172,"1984-02-17","NORTH MISSOURI BANCORP, INC. located at LA BELLE, MO was established as a Bank Holding Company."
1023172,"1988-03-31","NORTH MISSOURI BANCORP, INC. moved to 127 MAIN EDINA, MO."
1023172,"2012-01-01","NORTH MISSOURI BANCORP, INC. moved to 127 SOUTH MAIN STREET EDINA, MO."
1023172,"2015-01-26","NORTH MISSOURI BANCORP, INC. moved to 117 SOUTH MAIN STREET EDINA, MO."
1023220,"1983-06-20","B.N.Y. HOLDINGS (DELAWARE) CORPORATION located at 1105 NORTH MARKET STREET, WILMINGTON, DE was established as a Domestic Entity Other."
1023220,"1983-12-31","B.N.Y. HOLDINGS (DELAWARE) CORPORATION changed from Domestic Entity Other to Bank Holding Company."
1023220,"1993-04-01","B.N.Y. HOLDINGS (DELAWARE) CORPORATION moved to WHITE CLAY CENTER, ROUTE 273 NEWARK, DE."
1023220,"2007-07-01","B.N.Y. HOLDINGS (DELAWARE) CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1023220,"2009-12-01","B.N.Y. HOLDINGS (DELAWARE) CORPORATION moved to 100 WHITE CLAY CENTER DRIVE SUITE 102 NEWARK, DE."
1023220,"2014-03-10","B.N.Y. HOLDINGS (DELAWARE) CORPORATION moved to 100 WHITE CLAY CENTER DRIVE SUITE 102 WILMINGTON, DE."
1023239,"1984-01-27","MERCHANTS BANCSHARES, INC. located at BURLINGTON, VT was established as a Bank Holding Company."
1023239,"1984-03-31","MERCHANTS BANCSHARES, INC. moved to 123 CHURCH STR BURLINGTON, VT."
1023239,"1984-12-31","MERCHANTS BANCSHARES, INC. moved to BURLINGTON, VT."
1023239,"1985-06-30","MERCHANTS BANCSHARES, INC. moved to 164 COLLEGE STREET BURLINGTON, VT."
1023239,"2002-08-19","MERCHANTS BANCSHARES, INC. moved to 275 KENNEDY DRIVE SOUTH BURLINGTON, VT."
1023341,"1984-09-01","INDEPENDENT BANCSHARES, INC. located at 4TH AVENUE SOUTH, RED BAY, AL was established as a Bank Holding Company."
1023341,"2008-12-31","INDEPENDENT BANCSHARES, INC. moved to 200 FOURTH AVENUE SOUTHWEST RED BAY, AL."
1025309,"1972-03-02","HAWAII BANCORPORATION, INC. located at 111 SOUTH KING STREET, HONOLULU, HI was established as a Bank Holding Company."
1025309,"1980-01-02","HAWAII BANCORPORATION, INC. was renamed to BANCORP HAWAII, INC.."
1025309,"1991-01-01","BANCORP HAWAII, INC. moved to 130 MERCHANT STREET HONOLULU, HI."
1025309,"1997-04-25","BANCORP HAWAII, INC. was renamed to PACIFIC CENTURY FINANCIAL CORPORATION."
1025309,"2002-04-26","PACIFIC CENTURY FINANCIAL CORPORATION was renamed to BANK OF HAWAII CORPORATION and moved to 130 MERCHANT STREET, 22ND FLOOR HONOLULU, HI."
1025541,"1972-12-31","INDEPENDENT BANKSHARES CORPORATION located at 1108 FIFTH AVENUE, SAN RAFAEL, CA was established as a Bank Holding Company."
1025541,"1983-07-01","INDEPENDENT BANKSHARES CORPORATION was renamed to WESTAMERICA BANCORPORATION."
1025608,"1974-07-01","FIRST HAWAIIAN, INC. located at 165 SOUTH KING STREET, HONOLULU, HI was established as a Bank Holding Company."
1025608,"1994-04-08","FIRST HAWAIIAN, INC. moved to 1132 BISHOP STREET HONOLULU, HI."
1025608,"1997-01-01","FIRST HAWAIIAN, INC. moved to 999 BISHOP STREET HONOLULU, HI."
1025608,"1998-11-01","FIRST HAWAIIAN, INC. was renamed to BANCWEST CORPORATION."
1025608,"2001-12-04","BANCWEST CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1025608,"2016-04-01","BANCWEST CORPORATION was renamed to FIRST HAWAIIAN, INC.."
1025662,"1941-03-15","M.O. PACKARD INVESTMENT COMPANY located at 202 SOUTH MAIN STREET, SPRINGVILLE, UT was established as a Bank Holding Company."
1025662,"1990-01-10","M.O. PACKARD INVESTMENT COMPANY was renamed to CENTRAL BANCORPORATION and moved to 75 NORTH UNIVERSITY AVENUE PROVO, UT."
1025662,"2016-05-31","CENTRAL BANCORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1025998,"1948-08-05","FRANK P. DOYLE TRUST, ARTICLE IX located at 545 FOURTH STREET, SANTA ROSA, CA was established as a Bank Holding Company."
1026632,"1983-01-11","CHARLES SCHWAB CORPORATION, THE located at 101 MONTGOMERY STREET, SAN FRANCISCO, CA was established as a Securities Broker/Dealer."
1026632,"2000-06-01","CHARLES SCHWAB CORPORATION, THE moved to 120 KEARNY STREET SAN FRANCISCO, CA and changed from Securities Broker/Dealer to Financial Holding Company - Domestic."
1026632,"2007-11-16","CHARLES SCHWAB CORPORATION, THE changed from Financial Holding Company - Domestic to Savings & Loan Holding Company."
1026632,"2009-12-31","CHARLES SCHWAB CORPORATION, THE moved to 211 MAIN STREET SAN FRANCISCO, CA."
1026801,"1969-10-24","FREMONT BANCORPORATION located at 39150 FREMONT BOULEVARD, FREMONT, CA was established as a Bank Holding Company."
1027004,"1955-04-25","KEYSTONE INSURANCE AND INVESTMENT COMPANY located at 1190 KENNECOTT BUILDING, SALT LAKE CITY, UT was established as a Bank Holding Company."
1027004,"1971-06-08","KEYSTONE INSURANCE AND INVESTMENT COMPANY was renamed to ZIONS UTAH BANCORPORATION."
1027004,"1987-04-30","ZIONS UTAH BANCORPORATION was renamed to ZIONS BANCORPORATION and moved to 1380 KENNECOTT BUILDING SALT LAKE CITY, UT."
1027004,"1997-03-03","ZIONS BANCORPORATION moved to ONE SOUTH MAIN STREET, SUITE 1380 SALT LAKE CITY, UT."
1027004,"2000-11-28","ZIONS BANCORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1027004,"2002-01-02","ZIONS BANCORPORATION moved to ONE SOUTH MAIN STREET, SUITE 1134 SALT LAKE CITY, UT."
1027004,"2007-01-02","ZIONS BANCORPORATION moved to ONE SOUTH MAIN STREET, SUITE 1500 SALT LAKE CITY, UT."
1027004,"2009-10-22","ZIONS BANCORPORATION moved to ONE SOUTH MAIN STREET, 15TH FLOOR SALT LAKE CITY, UT."
1027947,"1978-01-03","BRIGHTON BANCORP located at 7101 SOUTH HIGHLAND DRIVE, SALT LAKE CITY, UT was established as a Bank Holding Company."
1027992,"1978-10-19","COTTONWOOD BANCORPORATION located at 3826 SOUTH 2300 EAST, SALT LAKE CITY, UT was established as a Bank Holding Company."
1027992,"1992-06-01","COTTONWOOD BANCORPORATION was renamed to FIRST UTAH BANCORPORATION."
1028533,"1981-06-08","ORIENT BANCORPORATION located at 233 SANSOME STREET, SAN FRANCISCO, CA was established as a Bank Holding Company."
1028533,"2000-07-25","ORIENT BANCORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1028533,"2002-04-19","ORIENT BANCORPORATION changed from Financial Holding Company - Domestic to Bank Holding Company."
1028533,"2015-02-17","ORIENT BANCORPORATION moved to 100 PINE STREET, SUITE 600 SAN FRANCISCO, CA."
1029222,"1981-12-30","CVB FINANCIAL CORP. located at 12808 CENTRAL AVENUE, CHINO, CA was established as a Bank Holding Company."
1029222,"1987-10-01","CVB FINANCIAL CORP. moved to 701 NORTH HAVEN AVENUE, SUITE 350 ONTARIO, CA."
1029259,"1981-12-31","PLAZA COMMERCE BANCORP located at 55 ALMADEN BOULEVARD, SAN JOSE, CA was established as a Bank Holding Company."
1029259,"1991-01-14","PLAZA COMMERCE BANCORP was renamed to COMERICA CALIFORNIA INCORPORATED."
1029259,"1997-05-02","COMERICA CALIFORNIA INCORPORATED was renamed to COMERICA HOLDINGS INCORPORATED and moved to 500 WOODWARD AVENUE DETROIT, MI."
1029259,"2000-12-19","COMERICA HOLDINGS INCORPORATED changed from Bank Holding Company to Financial Holding Company - Domestic."
1029259,"2011-06-21","COMERICA HOLDINGS INCORPORATED moved to 1717 MAIN STREET DALLAS, TX."
1029259,"2012-01-01","COMERICA HOLDINGS INCORPORATED moved to 1717 MAIN STREET MC-6506 DALLAS, TX."
1029286,"1982-01-31","BANK OF SAN FRANCISCO HOLDING COMPANY, THE located at 220 SANSOME STREET, SAN FRANCISCO, CA was established as a Bank Holding Company."
1029286,"1986-05-15","BANK OF SAN FRANCISCO HOLDING COMPANY, THE was renamed to BANK OF SAN FRANCISCO COMPANY HOLDING COMPANY."
1029286,"1987-09-25","BANK OF SAN FRANCISCO COMPANY HOLDING COMPANY moved to 550 MONTGOMERY STREET SAN FRANCISCO, CA."
1029286,"1994-05-24","BANK OF SAN FRANCISCO COMPANY HOLDING COMPANY was renamed to SAN FRANCISCO COMPANY, THE."
1029286,"2006-12-07","SAN FRANCISCO COMPANY, THE moved to 135 NORTH MERAMEC CLAYTON, MO."
1029295,"1982-07-01","SUMMIT BANCSHARES, INC. located at 2969 BROADWAY, OAKLAND, CA was established as a Bank Holding Company."
1029295,"2000-05-18","SUMMIT BANCSHARES, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1029295,"2009-02-24","SUMMIT BANCSHARES, INC. changed from Financial Holding Company - Domestic to Bank Holding Company."
1029464,"1982-04-30","W.T.B. FINANCIAL CORPORATION located at 717 WEST SPRAGUE AVENUE, SPOKANE, WA was established as a Bank Holding Company."
1030040,"1982-10-22","REDDING BANCORP located at 1177 PLACER STREET, REDDING, CA was established as a Bank Holding Company."
1030040,"1997-04-15","REDDING BANCORP moved to 1951 CHURN CREEK ROAD REDDING, CA."
1030040,"2000-04-18","REDDING BANCORP changed from Bank Holding Company to Financial Holding Company - Domestic."
1030040,"2004-05-19","REDDING BANCORP was renamed to BANK OF COMMERCE HOLDINGS."
1030040,"2007-05-01","BANK OF COMMERCE HOLDINGS moved to 1901 CHURN CREEK ROAD REDDING, CA."
1030040,"2010-12-03","BANK OF COMMERCE HOLDINGS changed from Financial Holding Company - Domestic to Bank Holding Company."
1030170,"1982-09-07","TRICO BANCSHARES located at 780 MANGROVE AVENUE, CHICO, CA was established as a Bank Holding Company."
1030170,"1997-12-29","TRICO BANCSHARES moved to 63 CONSTITUTION DRIVE CHICO, CA."
1030947,"1982-12-15","INDEPENDENT BANCORP located at 418 GROVER STREET, LYNDEN, WA was established as a Bank Holding Company."
1030947,"1997-10-21","INDEPENDENT BANCORP was renamed to PEOPLES BANCORP."
1030947,"2013-06-01","PEOPLES BANCORP moved to 3100 WOBURN STREET BELLINGHAM, WA."
1031449,"1983-10-17","SILICON VALLEY BANCSHARES located at 2262 NORTH FIRST STREET, SAN JOSE, CA was established as a Bank Holding Company."
1031449,"1995-10-10","SILICON VALLEY BANCSHARES moved to 3003 TASMAN DRIVE SANTA CLARA, CA."
1031449,"2000-11-14","SILICON VALLEY BANCSHARES changed from Bank Holding Company to Financial Holding Company - Domestic."
1031449,"2005-05-25","SILICON VALLEY BANCSHARES was renamed to SVB FINANCIAL GROUP."
1031515,"1984-08-21","TRANS PACIFIC BANCORP located at 46 SECOND STREET, SAN FRANCISCO, CA was established as a Bank Holding Company."
1031515,"2004-02-23","TRANS PACIFIC BANCORP moved to 55 SECOND STREET SAN FRANCISCO, CA."
1031515,"2005-12-31","TRANS PACIFIC BANCORP moved to 55 SECOND STREET, SUITE 100 SAN FRANCISCO, CA."
1031515,"2014-01-21","TRANS PACIFIC BANCORP moved to 88 KEARNY STREET, SUITE 1750 SAN FRANCISCO, CA."
1031588,"1984-01-03","LEARNER FINANCIAL CORPORATION located at 4 ORINDA WAY, SUITE 210-B, ORINDA, CA was established as a Bank Holding Company."
1031588,"1988-12-31","LEARNER FINANCIAL CORPORATION moved to 4 ORINDA WAY, SUITE 100-D ORINDA, CA."
1031588,"1989-04-01","LEARNER FINANCIAL CORPORATION moved to 1333 N. CALIFORNIA BOULEVARD, SUITE 555 WALNUT CREEK, CA."
1031588,"1997-05-14","LEARNER FINANCIAL CORPORATION moved to 1500 N. CALIFORNIA BOULEVARD, SUITE 200 WALNUT CREEK, CA."
1031588,"2014-02-18","LEARNER FINANCIAL CORPORATION moved to 590 YGNACIO VALLEY ROAD, SUITE 210 WALNUT CREEK, CA."
1032464,"1931-09-15","FINANCIAL INSTITUTIONS, INC. located at 55 NORTH MAIN STREET, WARSAW, NY was established as a Domestic Entity Other."
1032464,"1956-05-09","FINANCIAL INSTITUTIONS, INC. changed from Domestic Entity Other to Bank Holding Company."
1032464,"1997-06-12","FINANCIAL INSTITUTIONS, INC. moved to 220 LIBERTY STREET WARSAW, NY."
1032464,"2000-05-12","FINANCIAL INSTITUTIONS, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1032464,"2003-09-05","FINANCIAL INSTITUTIONS, INC. changed from Financial Holding Company - Domestic to Bank Holding Company."
1032464,"2008-05-28","FINANCIAL INSTITUTIONS, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1032464,"2012-01-01","FINANCIAL INSTITUTIONS, INC. moved to 220 LIBERTY STREET PO BOX 227 WARSAW, NY."
1032473,"1966-05-31","BANKERS TRUST NEW YORK CORPORATION located at 280 PARK AVENUE, NEW YORK, NY was established as a Bank Holding Company."
1032473,"1997-04-30","BANKERS TRUST NEW YORK CORPORATION moved to 130 LIBERTY STREET NEW YORK, NY."
1032473,"1998-04-23","BANKERS TRUST NEW YORK CORPORATION was renamed to BANKERS TRUST CORPORATION."
1032473,"2000-03-23","BANKERS TRUST CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1032473,"2002-04-14","BANKERS TRUST CORPORATION was renamed to DEUTSCHE BANK TRUST CORPORATION."
1032473,"2004-01-24","DEUTSCHE BANK TRUST CORPORATION moved to 60 WALL STREET NEW YORK, NY."
1035157,"1926-06-17","473 BROADWAY HOLDING CORPORATION located at 473 BROADWAY, SARATOGA SPRINGS, NY was established as a Domestic Entity Other."
1035157,"1970-12-31","473 BROADWAY HOLDING CORPORATION changed from Domestic Entity Other to Bank Holding Company."
1036967,"1924-01-28","C.I.T. FINANCIAL CORPORATION located at NEW YORK, NY was established as a Finance Company."
1036967,"1970-12-31","C.I.T. FINANCIAL CORPORATION moved to 650 MADISON AVENUE NEW YORK, NY and changed from Finance Company to Bank Holding Company."
1036967,"1979-04-16","C.I.T. FINANCIAL CORPORATION moved to 650 MADISON AVE NEW YORK, NY and changed from Bank Holding Company to Finance Company."
1036967,"1984-05-01","C.I.T. FINANCIAL CORPORATION changed from Finance Company to Domestic Entity Other."
1036967,"1986-05-01","C.I.T. FINANCIAL CORPORATION was renamed to CIT GROUP HOLDINGS, INC., THE."
1036967,"1996-03-31","CIT GROUP HOLDINGS, INC., THE moved to 1211 AVENUE OF THE AMERICAS NEW YORK, NY."
1036967,"1997-09-26","CIT GROUP HOLDINGS, INC., THE was renamed to CIT GROUP INC., THE."
1036967,"2006-12-31","CIT GROUP INC., THE moved to 505 FIFTH AVENUE NEW YORK, NY."
1036967,"2008-12-22","CIT GROUP INC., THE was renamed to CIT GROUP INC. and changed from Domestic Entity Other to Bank Holding Company."
1036967,"2010-12-15","CIT GROUP INC. moved to 1 CIT DRIVE LIVINGSTON, NJ."
1036967,"2013-07-23","CIT GROUP INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1037003,"1969-12-31","FIRST EMPIRE STATE CORPORATION located at ONE M&T PLAZA, BUFFALO, NY was established as a Bank Holding Company."
1037003,"1998-05-29","FIRST EMPIRE STATE CORPORATION was renamed to M&T BANK CORPORATION."
1037003,"2011-03-01","M&T BANK CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1039502,"1968-10-28","CHEMICAL NEW YORK CORPORATION located at 20 PINE STREET, NEW YORK, NY was established as a Bank Holding Company."
1039502,"1981-12-31","CHEMICAL NEW YORK CORPORATION moved to 277 PARK AVENUE NEW YORK, NY."
1039502,"1988-04-29","CHEMICAL NEW YORK CORPORATION was renamed to CHEMICAL BANKING CORPORATION."
1039502,"1991-12-31","CHEMICAL BANKING CORPORATION moved to 270 PARK AVENUE NEW YORK, NY."
1039502,"1996-03-31","CHEMICAL BANKING CORPORATION was renamed to CHASE MANHATTAN CORPORATION, THE."
1039502,"2000-03-13","CHASE MANHATTAN CORPORATION, THE changed from Bank Holding Company to Financial Holding Company - Domestic."
1039502,"2000-12-31","CHASE MANHATTAN CORPORATION, THE was renamed to J.P. MORGAN CHASE & CO.."
1039502,"2004-07-20","J.P. MORGAN CHASE & CO. was renamed to JPMORGAN CHASE & CO.."
1048504,"1982-06-30","JEFFERSONVILLE BANCORP located at 300 MAIN STREET, JEFFERSONVILLE, NY was established as a Bank Holding Company."
1048504,"1999-08-10","JEFFERSONVILLE BANCORP moved to 4866 STATE ROUTE 52 JEFFERSONVILLE, NY."
1048504,"2000-04-13","JEFFERSONVILLE BANCORP changed from Bank Holding Company to Financial Holding Company - Domestic."
1048504,"2007-01-18","JEFFERSONVILLE BANCORP changed from Financial Holding Company - Domestic to Bank Holding Company."
1048513,"1982-07-01","TRUSTCO BANK CORP NY located at 320 STATE STREET, SCHENECTADY, NY was established as a Bank Holding Company."
1048513,"2001-04-03","TRUSTCO BANK CORP NY moved to 5 SARNOWSKI DRIVE GLENVILLE, NY."
1048513,"2002-11-16","TRUSTCO BANK CORP NY changed from Bank Holding Company to Savings & Loan Holding Company."
1048728,"1983-05-18","BALLSTON SPA BANCORP, INC. located at 87 FRONT STREET, BALLSTON SPA, NY was established as a Bank Holding Company."
1048728,"2008-12-31","BALLSTON SPA BANCORP, INC. moved to 990 STATE ROUTE 67 PO BOX 70 BALLSTON SPA, NY."
1048728,"2016-12-01","BALLSTON SPA BANCORP, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1048764,"1983-05-01","CENTER BANCORP, INC. located at 2003 MORRIS AVENUE, UNION, NJ was established as a Bank Holding Company."
1048764,"1993-11-15","CENTER BANCORP, INC. moved to 2455 MORRIS AVENUE UNION, NJ."
1048764,"2007-11-09","CENTER BANCORP, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
